goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023101019:58TB8,TB,3RD,19:58,2023-10-10,Nikita Kucherov,20231010NSH@TB,Nick Paul,None,3598
2023101010:52TB7,TB,3RD,10:52,2023-10-10,Nick Paul,20231010NSH@TB,Mikhail Sergachev,Brayden Point,3052
2023101008:48NSH6,NSH,3RD,08:48,2023-10-10,Tommy Novak,20231010NSH@TB,Philip Tomasino,Gustav Nyquist,2928
2023101003:07TB5,TB,3RD,03:07,2023-10-10,Brandon Hagel,20231010NSH@TB,None,None,2587
2023101002:25TB4,TB,3RD,02:25,2023-10-10,Nick Paul,20231010NSH@TB,Brayden Point,Steven Stamkos,2545
2023101011.0NSH3,NSH,3RD,00:11,2023-10-10,Juuso Parssinen,20231010NSH@TB,Filip Forsberg,Ryan O'Reilly,2411
2023101016:15NSH2,NSH,2ND,16:15,2023-10-10,Ryan O'Reilly,20231010NSH@TB,Filip Forsberg,Ryan McDonagh,2175
2023101009:48TB1,TB,1ST,09:48,2023-10-10,Nikita Kucherov,20231010NSH@TB,Victor Hedman,Brayden Point,588
2023101018:33CHI6,CHI,3RD,18:33,2023-10-10,Nick Foligno,20231010CHI@PIT,Corey Perry,Jason Dickinson,3513
2023101015:29CHI5,CHI,3RD,15:29,2023-10-10,Jason Dickinson,20231010CHI@PIT,Corey Perry,Nick Foligno,3329
2023101010:05CHI4,CHI,3RD,10:05,2023-10-10,Cole Guttman,20231010CHI@PIT,Seth Jones,Andreas Athanasiou,3005
2023101015:37CHI3,CHI,2ND,15:37,2023-10-10,Ryan Donato,20231010CHI@PIT,Alex Vlasic,Connor Bedard,2137
2023101011:56PIT2,PIT,2ND,11:56,2023-10-10,Sidney Crosby,20231010CHI@PIT,Jake Guentzel,Marcus Pettersson,1916
2023101007:04PIT1,PIT,1ST,07:04,2023-10-10,Bryan Rust,20231010CHI@PIT,Kris Letang,Lars Eller,424
2023101111:05CAR8,CAR,3RD,11:05,2023-10-11,Jaccob Slavin,20231011OTT@CAR,Jesperi Kotkaniemi,Seth Jarvis,3065
2023101107:51CAR7,CAR,3RD,07:51,2023-10-11,Brady Skjei,20231011OTT@CAR,Jesper Fast,Jordan Staal,2871
2023101105:49OTT6,OTT,3RD,05:49,2023-10-11,Tim Stutzle,20231011OTT@CAR,None,None,2749
2023101105:14OTT5,OTT,3RD,05:14,2023-10-11,Parker Kelly,20231011OTT@CAR,Mathieu Joseph,None,2714
2023101120.0CAR4,CAR,3RD,00:20,2023-10-11,Jordan Staal,20231011OTT@CAR,Jordan Martinook,None,2420
2023101117:57CAR3,CAR,2ND,17:57,2023-10-11,Teuvo Teravainen,20231011OTT@CAR,Martin Necas,Brady Skjei,2277
2023101102:55CAR2,CAR,2ND,02:55,2023-10-11,Michael Bunting,20231011OTT@CAR,Sebastian Aho,Tony DeAngelo,1375
2023101103:14OTT1,OTT,1ST,03:14,2023-10-11,Mathieu Joseph,20231011OTT@CAR,Artem Zub,Parker Kelly,194
2023101105:00TOR11,TOR,SHO,05:00,2023-10-11,Mitchell Marner,20231011MON@TOR,None,None,4200
2023101118:53TOR10,TOR,3RD,18:53,2023-10-11,Auston Matthews,20231011MON@TOR,William Nylander,None,3533
2023101115:28TOR9,TOR,3RD,15:28,2023-10-11,Auston Matthews,20231011MON@TOR,John Tavares,Morgan Rielly,3328
2023101111:55MON8,MON,3RD,11:55,2023-10-11,Jesse Ylonen,20231011MON@TOR,Rafael Harvey-Pinard,None,3115
2023101105:47MON7,MON,3RD,05:47,2023-10-11,Alex Newhook,20231011MON@TOR,Arber Xhekaj,Kirby Dach,2747
2023101104:25MON6,MON,3RD,04:25,2023-10-11,Cole Caufield,20231011MON@TOR,Mike Matheson,Nick Suzuki,2665
